Name	Status	Kreis	Einwohner Schätzung 1995-12-31	Einwohner Schätzung 2001-12-31	Einwohner Zensus 2011-05-09	Einwohner Schätzung 2019-12-31
Heiden	Gemeinde	Borken	7375	8092	8089	8218
Heiligenhaus	Stadt	Mettmann	29487	28402	25560	26345
Heimbach	Stadt	Düren	4613	4659	4406	4328
Heinsberg	Stadt	Heinsberg	39852	41483	40949	42236
Hellenthal	Gemeinde	Euskirchen	8758	8715	8248	7863
Hemer	Stadt	Märkischer Kreis	35934	37355	35225	34062
Hennef (Sieg)	Stadt	Rhein-Sieg-Kreis	38115	43534	44770	47290
Herdecke	Stadt	Ennepe-Ruhr-Kreis	26278	26001	22909	22755
Herford	Stadt	Herford	65919	65097	65213	66638
Herne	Kreisfreie Stadt	Herne	179897	174018	155160	156449
Herscheid	Gemeinde	Märkischer Kreis	7492	7626	7363	6954
Herten	Stadt	Recklinghausen	69183	66495	61505	61821
Herzebrock-Clarholz	Gemeinde	Gütersloh	14898	15944	15900	16004
Herzogenrath	Stadt	Städteregion Aachen	45935	46932	46564	46375
Hiddenhausen	Gemeinde	Herford	20474	21071	19786	19705
Hilchenbach	Stadt	Siegen-Wittgenstein	16571	16506	15387	14801
Hilden	Stadt	Mettmann	55086	56615	54390	55625
Hille	Gemeinde	Minden-Lübbecke	15857	16622	16027	15374
Holzwickede	Gemeinde	Unna	17414	17739	16755	17076
Hopsten	Gemeinde	Steinfurt	6642	7643	7631	7650
Horn-Bad Meinberg	Stadt	Lippe	18664	18696	17364	17263
Hörstel	Stadt	Steinfurt	17401	19602	19660	20344
Horstmar	Stadt	Steinfurt	6387	6709	6496	6545
Hövelhof	Gemeinde	Paderborn	15167	15872	15642	16281
Höxter	Stadt	Höxter	33560	32998	30165	28808
Hückelhoven	Stadt	Heinsberg	36756	39308	38927	40245
Hückeswagen	Stadt	Oberbergischer Kreis	16016	16540	15256	14958
Hüllhorst	Gemeinde	Minden-Lübbecke	12657	13687	13174	13032
Hünxe	Gemeinde	Wesel	13632	13706	13544	13598
Hürtgenwald	Gemeinde	Düren	8474	8880	8655	8700
Hürth	Stadt	Rhein-Erft-Kreis	52351	54095	55082	59731
Ibbenbüren	Stadt	Steinfurt	47421	49485	50569	51822
Inden	Gemeinde	Düren	7624	7636	6936	7397
Iserlohn	Stadt	Märkischer Kreis	99341	98865	94630	92174
Isselburg	Stadt	Borken	10644	10974	10926	10636
Issum	Gemeinde	Kleve	11793	12181	11876	11977
Jüchen	Stadt	Rhein-Kreis Neuss	22216	22569	22162	23294
Jülich	Stadt	Düren	32061	33940	31834	32653
Kaarst	Stadt	Rhein-Kreis Neuss	41788	42379	41901	43493
Kalkar	Stadt	Kleve	12560	13865	13743	13884
Kall	Gemeinde	Euskirchen	11194	11829	11383	11191
Kalletal	Gemeinde	Lippe	15791	15786	14249	13471
Kamen	Stadt	Unna	46977	46348	43815	43023
Kamp-Lintfort	Stadt	Wesel	40435	39959	37299	37596
Kempen	Stadt	Viersen	36093	36085	35075	34514
Kerken	Gemeinde	Kleve	12060	12616	12527	12548
Kerpen	Stadt	Rhein-Erft-Kreis	61998	63652	63273	66702
Kevelaer	Stadt	Kleve	25737	27319	27509	28087
Kierspe	Stadt	Märkischer Kreis	17541	18299	16363	16119
Kirchhundem	Gemeinde	Olpe	13030	13067	12069	11485
Kirchlengern	Gemeinde	Herford	15589	16335	16189	16023
Kleve	Stadt	Kleve	48344	49031	47438	52388
Köln	Kreisfreie Stadt	Köln	965697	967940	1005775	1087863
Königswinter	Stadt	Rhein-Sieg-Kreis	37341	39482	40025	41277
Korschenbroich	Stadt	Rhein-Kreis Neuss	31740	33862	32025	33251
Kranenburg	Gemeinde	Kleve	8526	9457	10174	10719
Krefeld	Kreisfreie Stadt	Krefeld	249606	239559	222247	227417
Kreuzau	Gemeinde	Düren	16989	18234	17123	17444
Kreuztal	Stadt	Siegen-Wittgenstein	32243	32127	30754	31122
Kürten	Gemeinde	Rheinisch-Bergischer Kreis	18771	19679	19531	19662
Ladbergen	Gemeinde	Steinfurt	6058	6455	6372	6688
Laer	Gemeinde	Steinfurt	5999	6314	6485	6744
Lage	Stadt	Lippe	35931	36157	34824	34858
Langenberg	Gemeinde	Gütersloh	7719	8196	8151	8619
Langenfeld (Rheinland)	Stadt	Mettmann	56676	58757	56829	59178
Langerwehe	Gemeinde	Düren	12999	13856	13440	14028
Legden	Gemeinde	Borken	6003	6663	6939	7326
Leichlingen (Rheinland)	Stadt	Rheinisch-Bergischer Kreis	26366	26934	27478	28000
Lemgo	Stadt	Lippe	41403	42188	41032	40619
Lengerich	Stadt	Steinfurt	21802	22259	21828	22660
Lennestadt	Stadt	Olpe	27650	28046	26473	25308
Leopoldshöhe	Gemeinde	Lippe	15309	16396	15922	16263
Leverkusen	Kreisfreie Stadt	Leverkusen	162252	160829	158984	163729
Lichtenau	Stadt	Paderborn	10461	11138	10473	10570
Lienen	Gemeinde	Steinfurt	8575	9017	8577	8604
Lindlar	Gemeinde	Oberbergischer Kreis	20804	22517	21252	21315
Linnich	Stadt	Düren	13697	13898	12549	12662
Lippetal	Gemeinde	Soest	12081	12647	11959	11894
Lippstadt	Stadt	Soest	66636	67231	65886	67952
Lohmar	Stadt	Rhein-Sieg-Kreis	29509	30936	29475	30453
Löhne	Stadt	Herford	41246	41580	39671	39915
Lotte	Gemeinde	Steinfurt	11594	13122	13728	14095
Lübbecke	Stadt	Minden-Lübbecke	25301	25937	25473	25541
Lüdenscheid	Stadt	Märkischer Kreis	81837	80509	73762	72313
Lüdinghausen	Stadt	Coesfeld	21569	23333	23544	24822
Lügde	Stadt	Lippe	12003	11603	10209	9390
Lünen	Stadt	Unna	91592	92005	86010	86348
Marienheide	Gemeinde	Oberbergischer Kreis	13032	13491	13687	13522
Marienmünster	Stadt	Höxter	5233	5458	5356	4902
Marl	Stadt	Recklinghausen	92965	92628	84782	84067
Marsberg	Stadt	Hochsauerlandkreis	23058	22382	20428	19540
Mechernich	Stadt	Euskirchen	24575	26460	26736	27714
Meckenheim	Stadt	Rhein-Sieg-Kreis	24558	25440	23563	24817
Medebach	Stadt	Hochsauerlandkreis	8200	8345	7970	8000
Meerbusch	Stadt	Rhein-Kreis Neuss	54206	55172	54313	56415
Meinerzhagen	Stadt	Märkischer Kreis	21554	22031	21073	20367
Menden (Sauerland)	Stadt	Märkischer Kreis	58424	59183	54495	52608
Merzenich	Gemeinde	Düren	8873	9995	9835	9885
Meschede	Stadt	Hochsauerlandkreis	32590	32645	30745	29786
Metelen	Gemeinde	Steinfurt	6177	6313	6397	6360
Mettingen	Gemeinde	Steinfurt	11783	12510	11830	11828
Mettmann	Stadt	Mettmann	38812	39125	37972	38757
Minden	Stadt	Minden-Lübbecke	82971	82898	80121	81716
Moers	Stadt	Wesel	107095	107421	104009	103902
Möhnesee	Gemeinde	Soest	10114	11164	11041	11722
Mönchengladbach	Kreisfreie Stadt	Mönchengladbach	266702	262963	255188	261034
Monheim am Rhein	Stadt	Mettmann	43811	43685	40280	40948
Monschau	Stadt	Städteregion Aachen	12541	13002	12085	11693
Morsbach	Gemeinde	Oberbergischer Kreis	11169	11520	10565	10138
Much	Gemeinde	Rhein-Sieg-Kreis	13883	14889	14119	14412
Mülheim an der Ruhr	Kreisfreie Stadt	Mülheim an der Ruhr	176530	172332	166865	170632
Münster	Kreisfreie Stadt	Münster	265061	267197	289576	315293
Nachrodt-Wiblingwerde	Gemeinde	Märkischer Kreis	6964	6983	6724	6546
Netphen	Stadt	Siegen-Wittgenstein	24897	25038	23326	23081
Nettersheim	Gemeinde	Euskirchen	7298	7882	7563	7491
Nettetal	Stadt	Viersen	40348	42085	41417	42496
Neuenkirchen	Gemeinde	Steinfurt	12473	13610	13698	13887
Neuenrade	Stadt	Märkischer Kreis	12009	12377	12156	11889
Neukirchen-Vluyn	Stadt	Wesel	27571	28566	27033	27187
Neunkirchen	Gemeinde	Siegen-Wittgenstein	14717	14391	13930	13165
Neunkirchen-Seelscheid	Gemeinde	Rhein-Sieg-Kreis	18508	20328	19780	19679
Neuss	Stadt	Rhein-Kreis Neuss	148796	150957	150568	153896
Nideggen	Stadt	Düren	9675	10729	9877	10001
Niederkassel	Stadt	Rhein-Sieg-Kreis	31201	35077	36496	38667
